Sample,Sex,Family,Plate,Initial area (mm^2),Initial perimeter (mm),Initial Circularity,1 week area (mm^2),1 week perimeter (mm),Week_1_Circularity,Week_2_area,Week_2_ perimeter ,Week_2_Circularity,Week_3_area,Week_3_perimeter,Week_3_Circularity,7 days,8 days,9 days,10 days,11 days,12 days,13 days,14 days,15 days,16 days,17 days,18 days,19 days,20 days,21 days,Days_until_gametophores,Total_Gametophores
P_14_11_5,m,5,28C,0.029643345,0.679289702,0.806875974,0.072104088,1.142530437,0.693767534,0.293926975,2.702899038,0.505323432,0.544877434,3.928095783,0.443531351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
P_14_11_6,f,5,2A,0.043415375,0.697517993,1.120785144,0.049532256,0.86769355,0.826313803,0.237848028,2.322324612,0.55391528,0.611959527,4.059191498,0.466480248,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,100,0
P_14_11_6,f,5,2B,0.026209386,0.669267505,0.734931744,0.043523959,0.849532522,0.757457047,0.191256581,2.196946257,0.497699449,0.614411708,4.711239658,0.347679215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
P_14_11_6,f,5,2C,0.013079809,0.509114145,0.633812384,0.027028288,0.653797,0.794186184,0.169164326,2.298513486,0.402165035,0.458309095,3.175892917,0.570711223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
P_14_11_7,f,5,8C,0.022603503,0.614986211,0.750645058,0.042193809,0.921504002,0.624085247,0.144434393,1.615658842,0.694961803,0.360126826,2.739826461,0.6025582,1,0,0,1,1,1,1,1,1,1,1,1,1,,1,7,0
P_14_11_7,f,5,8B,0.029724783,0.674715814,0.820099502,0.073366374,1.183897222,0.657443883,0.208851661,1.944306181,0.693902192,0.487205927,3.437008139,0.518013503,0,0,0,0,0,0,0,0,0,0,1,0,1,,2,100,0
P_14_11_7,f,5,8A,0.028620848,0.651779108,0.846196594,0.051038854,0.946391337,0.715729708,0.130924773,1.62944777,0.619342069,0.29069661,2.578865945,0.548999657,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100,0
P_14_11_8,f,5,7A,0.01786654,0.519338131,0.83201215,0.044437871,1.018093765,0.538477215,0.279829194,2.553709558,0.538939055,0.786865215,3.905293603,0.64801134,0,0,0,0,0,0,0,0,0,0,0,,1,2,4,100,0
P_14_11_8,f,5,7C,0.020468024,0.561982915,0.813990483,0.060435867,1.1768346,0.548092095,0.254574439,2.764781059,0.418295261,0.721334964,3.850675994,0.61101612,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,100,0
P_14_11_8,f,5,7B,0.017296475,0.518732764,0.807346368,0.061431217,1.14172328,0.591911868,0.296542032,3.345194054,0.332838278,0.242969558,5.516983924,0.100262393,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,0
P_14_13_10,f,6,19A,0.017291951,0.501244367,0.864439552,0.0715295,1.444608865,0.43050111,0.277702763,2.68561243,0.483596517,0.787421706,4.872738279,0.416534378,0,0,0,0,0,,,0,0,0,0,0,0,0,0,100,0
P_14_13_10,f,6,19B,0.021160245,0.566758593,0.827397301,0.062073671,1.194928365,0.546026005,0.204354487,2.602475281,0.3789663,0.392127341,4.602542544,0.232499028,0,0,0,0,0,,,0,0,0,0,0,0,0,0,100,0
P_14_13_10,f,6,19C,0.022427054,0.589695298,0.81004015,0.065593592,1.286809713,0.497533573,0.302401026,4.145288222,0.221036215,0.506425238,6.629515033,0.144724301,0,0,0,0,0,,,0,0,0,0,0,0,0,0,100,0
P_14_13_12,f,6,9A,0.0231238,0.615457053,0.766749201,0.046745275,0.915786642,0.700065613,0.172819976,2.090334297,0.496766257,0.421277535,3.989843277,0.332388712,0,0,1,1,1,1,1,5,6,6,6,9,9,9,12,100,0
